[2026-03-08 17:26:05.090 15093-15150 m140.box                com.example.campusguide              I  getExecutor  CREATED  boq@6980a3b[Network]
 2026-03-08 17:26:05.103 15093-15150 GMM-Satell...nnectivity com.example.campusguide              W  WIFI  isActiveNetworkSatellite: false
 2026-03-08 17:26:30.469 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.478 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.480 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.482 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.488 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.495 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.498 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.501 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.503 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.505 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.511 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.518 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.521 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.526 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.530 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.535 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.543 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.547 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.551 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.554 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.555 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.563 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.565 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.570 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.572 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.574 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.579 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.583 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.587 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.589 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.592 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.598 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.600 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.606 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.609 15093-15323 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:30.910 15093-15093 Choreographer           com.example.campusguide              I  Skipped 40 frames!  The application may be doing too much work on its main thread.
 2026-03-08 17:26:30.974 15093-15105 HWUI                    com.example.campusguide              I  Davey! duration=742ms; Flags=0, FrameTimelineVsyncId=109640, IntendedVsync=19680059527495, Vsync=19680726194135, InputEventId=731250477, HandleInputStart=19680743024675, AnimationStart=19680743026175, PerformTraversalsStart=19680769635310, DrawStart=19680769712819, FrameDeadline=19680126194159, FrameStartTime=19680742287951, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=19680783583394, SyncStart=19680784401356, IssueDrawCommandsStart=19680784536113, SwapBuffers=19680786232217, FrameCompleted=19680803178334, DequeueBufferDuration=15966, QueueBufferDuration=15496766, GpuCompleted=19680793660699, SwapBuffersCompleted=19680803178334, DisplayPresentTime=0, CommandSubmissionCompleted=19680786232217,
 2026-03-08 17:26:31.110 15093-15324 m140.caw                com.example.campusguide              I  Initial labeling completed.
 2026-03-08 17:26:31.473 15093-15099 ple.campusguide         com.example.campusguide              I  Background concurrent mark compact GC freed 20MB AllocSpace bytes, 75(8332KB) LOS objects, 39% free, 36MB/60MB, paused 3.687ms,4.118ms total 245.994ms
 2026-03-08 17:26:39.787 15093-15093 USABILITY               com.example.campusguide              D  Search Bar Profile Button clicked,9.374
 2026-03-08 17:26:39.875 15093-15323 m140.few                com.example.campusguide              W  Destroying egl surface
 2026-03-08 17:26:41.603 15093-15093 USABILITY               com.example.campusguide              D  Attempted profile button from profile page,1.816
 2026-03-08 17:26:42.534 15093-15093 USABILITY               com.example.campusguide              D  Go to accessibility page click,0.931
 2026-03-08 17:26:44.213 15093-15093 USABILITY               com.example.campusguide              D  Increase Text size clicked,1.679
 2026-03-08 17:26:45.594 15093-15093 USABILITY               com.example.campusguide              D  Decrease Text size clicked,1.381
 2026-03-08 17:26:46.313 15093-15093 USABILITY               com.example.campusguide              D  Cycle Color Blind Mode,0.718
 2026-03-08 17:26:46.839 15093-15093 USABILITY               com.example.campusguide              D  Cycle Color Blind Mode,0.527
 2026-03-08 17:26:47.373 15093-15093 USABILITY               com.example.campusguide              D  Cycle Color Blind Mode,0.534
 2026-03-08 17:26:47.847 15093-15093 USABILITY               com.example.campusguide              D  Cycle Color Blind Mode,0.474
 2026-03-08 17:26:49.286 15093-15093 USABILITY               com.example.campusguide              D  Bold/Unbold check clicked,1.439
 2026-03-08 17:26:50.098 15093-15093 USABILITY               com.example.campusguide              D  Bold/Unbold check clicked,0.811
 2026-03-08 17:26:51.725 15093-15093 USABILITY               com.example.campusguide              D  Back button from accessibility page,1.628
 2026-03-08 17:26:53.576 15093-15093 USABILITY               com.example.campusguide              D  Back button from profile page,1.851
 2026-03-08 17:26:53.866 15093-15093 MapsInitializer         com.example.campusguide              D  preferredRenderer: null
 2026-03-08 17:26:53.866 15093-15093 zzcc                    com.example.campusguide              D  preferredRenderer: null
 2026-03-08 17:26:53.875 15093-15093 Google Android Maps SDK com.example.campusguide              I  Google Play services package version: 260864038
 2026-03-08 17:26:53.876 15093-15093 Google Android Maps SDK com.example.campusguide              I  Google Play services maps renderer version(maps_core): 254515602
 2026-03-08 17:26:53.930 15093-15093 m140.cek                com.example.campusguide              I  FpsProfiler MAIN created on main
 2026-03-08 17:26:53.952 15093-15093 m140.dvj                com.example.campusguide              I  Map using legacy labeler
 2026-03-08 17:26:53.965 15093-15093 m140.duc                com.example.campusguide              I  Network fetching: false
 2026-03-08 17:26:53.966 15093-15093 m140.duc                com.example.campusguide              I  requestDrawingConfig for epoch 769 legend ROADMAP
 2026-03-08 17:26:53.974 15093-15147 m140.duc                com.example.campusguide              I  Network fetching: true
 2026-03-08 17:26:53.982 15093-15093 m140.duc                com.example.campusguide              I  Network fetching: true
 2026-03-08 17:26:53.993 15093-15147 m140.duc                com.example.campusguide              I  Network fetching: true
 2026-03-08 17:26:54.015 15093-15093 m140.epd                com.example.campusguide              I  Found 47 zoom mappings
 2026-03-08 17:26:54.019 15093-15093 m140.epd                com.example.campusguide              I  Zoom tables loaded
 2026-03-08 17:26:54.183 15093-15147 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:54.351 15093-15098 ple.campusguide         com.example.campusguide              I  Compiler allocated 11MB to compile void com.example.campusguide.ui.screens.MapScreenKt.MapScreen(java.lang.String, com.example.campusguide.data.CampusBuilding, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function1, int, int, com.example.campusguide.ui.directions.TravelMode, androidx.compose.runtime.Composer, int, int)
 2026-03-08 17:26:54.702 15093-15093 Choreographer           com.example.campusguide              I  Skipped 50 frames!  The application may be doing too much work on its main thread.
 2026-03-08 17:26:54.758 15093-15093 m140.dpe                com.example.campusguide              W  ClientArea created with texture coordinates, but has a non-textured style.
 2026-03-08 17:26:54.758 15093-15093 m140.dfg                com.example.campusguide              W  ScreenPixelGeometryUnpacker int[] getVertices not supported; float-precision would be lost.
 2026-03-08 17:26:54.764 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:54.778 15093-15196 HWUI                    com.example.campusguide              I  Davey! duration=893ms; Flags=0, FrameTimelineVsyncId=117538, IntendedVsync=19703692859883, Vsync=19704526193183, InputEventId=0, HandleInputStart=19704536209127, AnimationStart=19704536214829, PerformTraversalsStart=19704570513829, DrawStart=19704570573199, FrameDeadline=19704542859849, FrameStartTime=19704534669974, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=19704579098812, SyncStart=19704579525928, IssueDrawCommandsStart=19704579742550, SwapBuffers=19704581713577, FrameCompleted=19704586945105, DequeueBufferDuration=12357, QueueBufferDuration=3116188, GpuCompleted=19704586336627, SwapBuffersCompleted=19704586945105, DisplayPresentTime=0, CommandSubmissionCompleted=19704581713577,
 2026-03-08 17:26:54.785 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:54.791 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:54.809 15093-15093 WindowLayo...ponentImpl com.example.campusguide              D  Register WindowLayoutInfoListener on Context=com.example.campusguide.MainActivity@8e32010, of which baseContext=android.app.ContextImpl@4bd4a6d
 2026-03-08 17:26:54.893 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:54.901 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:54.918 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:54.924 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:54.931 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:54.942 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:54.947 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:54.955 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:54.962 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:54.969 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:54.978 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:54.986 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:54.999 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.012 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.013 15093-15360 m140.epd                com.example.campusguide              I  Found 47 zoom mappings
 2026-03-08 17:26:55.014 15093-15360 m140.epd                com.example.campusguide              I  Zoom tables loaded
 2026-03-08 17:26:55.018 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.028 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.030 15093-15360 m140.epd                com.example.campusguide              I  Found 47 zoom mappings
 2026-03-08 17:26:55.031 15093-15360 m140.epd                com.example.campusguide              I  Zoom tables loaded
 2026-03-08 17:26:55.044 15093-15360 m140.epd                com.example.campusguide              I  Found 47 zoom mappings
 2026-03-08 17:26:55.046 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.049 15093-15360 m140.epd                com.example.campusguide              I  Zoom tables loaded
 2026-03-08 17:26:55.059 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.067 15093-15360 m140.epd                com.example.campusguide              I  Found 47 zoom mappings
 2026-03-08 17:26:55.069 15093-15360 m140.epd                com.example.campusguide              I  Zoom tables loaded
 2026-03-08 17:26:55.075 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.083 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.096 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.104 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.118 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.128 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.136 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.144 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.151 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.167 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.183 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.198 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.211 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.215 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.225 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.230 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.237 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.341 15093-15356 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.385 15093-15356 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:55.514 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.516 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.522 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.523 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.527 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.529 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.534 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.541 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.546 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.551 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.554 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.559 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.562 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.563 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.566 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.569 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.575 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.578 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.587 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.592 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.596 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.612 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.614 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.620 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.623 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.625 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.630 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.632 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.636 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.639 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.641 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.646 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.648 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.656 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:55.723 15093-15099 ple.campusguide         com.example.campusguide              I  Background concurrent mark compact GC freed 14MB AllocSpace bytes, 129(15MB) LOS objects, 35% free, 42MB/66MB, paused 1.887ms,6.181ms total 821.974ms
 2026-03-08 17:26:55.895 15093-15093 Choreographer           com.example.campusguide              I  Skipped 38 frames!  The application may be doing too much work on its main thread.
 2026-03-08 17:26:56.017 15093-15356 m140.dvr                com.example.campusguide              W  InternalStyle with id -1 not found in namespace: [GMM-CLIENT-INJECTED-STYLE-NAMESPACE, 1]. Has this style been destroyed?
 2026-03-08 17:26:56.085 15093-15357 m140.caw                com.example.campusguide              I  Initial labeling completed.
 2026-03-08 17:26:56.597 15093-15099 ple.campusguide         com.example.campusguide              I  Background concurrent mark compact GC freed 22MB AllocSpace bytes, 111(11MB) LOS objects, 40% free, 35MB/59MB, paused 731us,7.182ms total 181.594ms
 2026-03-08 17:26:58.824 15093-15093 USABILITY               com.example.campusguide              D  CALENDAR navigation button clicked,5.248
 2026-03-08 17:26:59.110 15093-15356 m140.few                com.example.campusguide              W  Destroying egl surface
 2026-03-08 17:27:00.977 15093-15093 USABILITY               com.example.campusguide              D  Go Ahead in Calendar Date,2.153
 2026-03-08 17:27:07.074 15093-15093 USABILITY               com.example.campusguide              D  MAP navigation button clicked,6.097
 2026-03-08 17:27:07.246 15093-15093 MapsInitializer         com.example.campusguide              D  preferredRenderer: null
 2026-03-08 17:27:07.247 15093-15093 zzcc                    com.example.campusguide              D  preferredRenderer: null
 2026-03-08 17:27:07.250 15093-15093 Google Android Maps SDK com.example.campusguide              I  Google Play services package version: 260864038
 2026-03-08 17:27:07.251 15093-15093 Google Android Maps SDK com.example.campusguide              I  Google Play services maps renderer version(maps_core): 254515602
 2026-03-08 17:27:07.308 15093-15093 m140.cek                com.example.campusguide              I  FpsProfiler MAIN created on main
 2026-03-08 17:27:07.354 15093-15093 m140.dvj                com.example.campusguide              I  Map using legacy labeler
 2026-03-08 17:27:07.364 15093-15093 m140.duc                com.example.campusguide              I  Network fetching: false
 2026-03-08 17:27:07.365 15093-15093 m140.duc                com.example.campusguide              I  requestDrawingConfig for epoch 769 legend ROADMAP
 2026-03-08 17:27:07.377 15093-15147 m140.duc                com.example.campusguide              I  Network fetching: true
 2026-03-08 17:27:07.387 15093-15093 m140.duc                com.example.campusguide              I  Network fetching: true
 2026-03-08 17:27:07.390 15093-15147 m140.duc                com.example.campusguide              I  Network fetching: true
 2026-03-08 17:27:07.407 15093-15093 m140.epd                com.example.campusguide              I  Found 47 zoom mappings
